name,name_2,id,goal_assist,goals,expected_goals_per_90,expected_assists_per_90,rating,nation,pos,squad,born,comp
Pablo Maffeo,goals,673356,2.0,0.0,0.01,0.13,7.06,es ESP,DF,Mallorca,1997.0,La Liga
Javi Galán,goals,695062,3.0,0.0,0.01,0.15,7.06,es ESP,DF,Atlético Madrid,1994.0,La Liga
Marcos Alonso,goals,196169,0.0,2.0,0.11,0.07,7.06,es ESP,DF,Celta Vigo,1990.0,La Liga
Florian Lejeune,goals,184521,2.0,1.0,0.09,0.03,7.06,fr FRA,DF,Rayo Vallecano,1991.0,La Liga
Santi Comesana,goals,671865,2.0,3.0,0.17,0.09,7.05,es ESP,MF,Villarreal,1995.0,La Liga
Arnau Martinez,goals,1194892,2.0,2.0,0.05,0.06,7.05,es ESP,DF,Girona,2003.0,La Liga
Lucas Torro,goals,303879,0.0,3.0,0.07,0.05,7.05,es ESP,MF,Osasuna,1994.0,La Liga
Yangel Herrera,goals,730901,3.0,4.0,0.15,0.05,7.04,ve VEN,MF,Girona,1998.0,La Liga
Oihan Sancet,goals,950545,1.0,15.0,0.56,0.09,7.04,es ESP,MF,Athletic Club,2000.0,La Liga
Raul Asencio,goals,1580528,1.0,0.0,0.0,0.03,7.04,es ESP,DF,Real Madrid,1998.0,La Liga
Eric Garcia,goals,940573,2.0,2.0,0.16,0.08,7.04,es ESP,DF,Barcelona,2001.0,La Liga
Mauro Arambarri,goals,625340,0.0,9.0,0.26,0.02,7.03,uy URU,MF,Getafe,1995.0,La Liga
Aimar Oroz,goals,1054786,3.0,5.0,0.13,0.1,7.03,es ESP,MF,Osasuna,2001.0,La Liga
David Soria,goals,581919,0.0,0.0,0.0,0.0,7.03,es ESP,GK,Getafe,1993.0,La Liga
Daniel Ceballos,goals,531629,0.0,0.0,0.03,0.16,7.02,es ESP,MF,Real Madrid,1996.0,La Liga
Loic Badé,goals,1119461,1.0,1.0,0.02,0.01,7.02,fr FRA,DF,Sevilla,2000.0,La Liga
Alejandro Catena,goals,814663,2.0,0.0,0.06,0.06,7.02,es ESP,DF,Rayo Vallecano,1997.0,La Liga
Omar El Hilali,goals,1208708,2.0,0.0,0.0,0.04,7.02,ma MAR,DF,Espanyol,2003.0,La Liga
Nico Williams,goals,1202110,5.0,5.0,0.18,0.19,7.01,es ESP,FW,Athletic Club,2002.0,La Liga
Raul Moro,goals,1169596,5.0,4.0,0.15,0.23,7.01,es ESP,FW,Real Valladolid,1999.0,La Liga
Kike Salas,goals,1327489,2.0,3.0,0.08,0.04,7.01,es ESP,DF,Sevilla,2002.0,La Liga
José Ángel Carmona,goals,1281461,0.0,0.0,0.02,0.02,7.01,es ESP,DF,Sevilla,2001.0,La Liga
Kirian Rodriguez,goals,936206,3.0,0.0,0.08,0.07,7.0,es ESP,MF,Las Palmas,1997.0,La Liga
Abdul Mumin,goals,776591,1.0,2.0,0.03,0.01,7.0,gh GHA,DF,Rayo Vallecano,1998.0,La Liga
Takefusa Kubo,goals,848289,0.0,5.0,0.15,0.14,6.99,jp JPN,FW,Real Sociedad,2001.0,La Liga
Joan Jordán,goals,574662,2.0,4.0,0.26,0.16,6.99,es ESP,MF,Alavés,1994.0,La Liga
Álvaro Garcia,goals,474658,5.0,4.0,0.26,0.2,6.98,es ESP,FW,Rayo Vallecano,1996.0,La Liga
Sergi Darder,goals,282472,5.0,2.0,0.08,0.17,6.98,es ESP,MF,Mallorca,1993.0,La Liga
Rodrigo De Paul,goals,324578,4.0,3.0,0.06,0.24,6.98,ar ARG,MF,Atlético Madrid,1994.0,La Liga
Saul Niguez,goals,309334,6.0,1.0,0.17,0.13,6.98,es ESP,MF,Sevilla,1994.0,La Liga
Frenkie de Jong,goals,638622,2.0,2.0,0.06,0.17,6.97,nl NED,MF,Barcelona,1997.0,La Liga
Valentin Rosier,goals,763970,2.0,1.0,0.03,0.04,6.96,fr FRA,DF,Leganés,1996.0,La Liga
Pathé Ciss,goals,872396,1.0,4.0,0.09,0.04,6.96,sn SEN,MF,Rayo Vallecano,1994.0,La Liga
Jon Aramburu,goals,1249284,1.0,1.0,0.02,0.05,6.96,ve VEN,DF,Real Sociedad,2002.0,La Liga
Alex Berenguer,goals,574629,7.0,5.0,0.29,0.18,6.96,es ESP,FW,Athletic Bilbao,1995.0,La Liga
Youssouf Sabaly,goals,467689,1.0,0.0,0.01,0.05,6.96,sn SEN,DF,Betis,1993.0,La Liga
Jorge Sáenz,goals,573780,0.0,1.0,0.05,0.01,6.96,es ESP,DF,Leganés,1996.0,La Liga
Alberto Moleiro,goals,1184694,1.0,6.0,0.19,0.13,6.95,es ESP,FW,Las Palmas,2003.0,La Liga
Andoni Gorosabel,goals,839893,2.0,0.0,0.02,0.11,6.95,es ESP,DF,Athletic Club,1996.0,La Liga
Kiko,goals,175311,1.0,0.0,0.01,0.09,6.95,es ESP,DF,Villarreal,1996.0,La Liga
Sandro Ramirez,goals,477615,3.0,9.0,0.18,0.15,6.95,es ESP,FW,Las Palmas,1996.0,La Liga
Santiago Mourino,goals,1407468,1.0,0.0,0.05,0.03,6.95,es ESP,DF,Alavés,1998.0,La Liga
Samuel Dias Lino,goals,1082941,3.0,3.0,0.38,0.1,6.94,br BRA,FW,Atlético Madrid,1999.0,La Liga
Lucien Agoume,goals,971790,1.0,1.0,0.04,0.06,6.94,fr FRA,MF,Sevilla,2002.0,La Liga
Antonio Rüdiger,goals,276738,0.0,0.0,0.07,0.04,6.94,de GER,DF,Real Madrid,1993.0,La Liga
Javier Puado,goals,846966,3.0,11.0,0.32,0.05,6.93,es ESP,FW,Espanyol,1997.0,La Liga
Miguel Gutiérrez,goals,942379,5.0,1.0,0.06,0.17,6.93,es ESP,DF,Girona,2001.0,La Liga
Brahim Diaz,goals,750027,2.0,4.0,0.37,0.14,6.93,ma MAR,FW,Real Madrid,1999.0,La Liga
Giuliano Simeone,goals,1226147,6.0,2.0,0.11,0.22,6.93,ar ARG,MF,Atlético Madrid,2002.0,La Liga
Samu,goals,1130583,2.0,0.0,0.07,0.07,6.93,es ESP,MF,Mallorca,1999.0,La Liga
Antonio Raillo,goals,640231,0.0,2.0,0.06,0.03,6.92,es ESP,DF,Mallorca,1991.0,La Liga
Bryan Zaragoza,goals,1202525,5.0,1.0,0.15,0.26,6.92,es ESP,FW,Osasuna,2001.0,La Liga
Juan Iglesias,goals,1102289,1.0,0.0,0.03,0.06,6.92,es ESP,DF,Getafe,1999.0,La Liga
Luka Sucic,goals,959597,1.0,1.0,0.17,0.11,6.92,at AUT,MF,Real Sociedad,2002.0,La Liga
